time,光伏功率(kW),光伏可用功率(kW),弃光功率(kW),正向有功总电能
2026-02-26 00:00:00,0.0,0.0,0.0,0.0
2026-02-26 00:01:00,0.0,0.0,0.0,0.0
2026-02-26 00:02:00,0.0,0.0,0.0,0.0
2026-02-26 00:03:00,0.0,0.0,0.0,0.0
2026-02-26 00:04:00,0.0,0.0,0.0,0.0
2026-02-26 00:05:00,0.0,0.0,0.0,0.0
2026-02-26 00:06:00,0.0,0.0,0.0,0.0
2026-02-26 00:07:00,0.0,0.0,0.0,0.0
2026-02-26 00:08:00,0.0,0.0,0.0,0.0
2026-02-26 00:09:00,0.0,0.0,0.0,0.0
2026-02-26 00:10:00,0.0,0.0,0.0,0.0
2026-02-26 00:11:00,0.0,0.0,0.0,0.0
2026-02-26 00:12:00,0.0,0.0,0.0,0.0
2026-02-26 00:13:00,0.0,0.0,0.0,0.0
2026-02-26 00:14:00,0.0,0.0,0.0,0.0
2026-02-26 00:15:00,0.0,0.0,0.0,0.0
2026-02-26 00:16:00,0.0,0.0,0.0,0.0
2026-02-26 00:17:00,0.0,0.0,0.0,0.0
2026-02-26 00:18:00,0.0,0.0,0.0,0.0
2026-02-26 00:19:00,0.0,0.0,0.0,0.0
2026-02-26 00:20:00,0.0,0.0,0.0,0.0
2026-02-26 00:21:00,0.0,0.0,0.0,0.0
2026-02-26 00:22:00,0.0,0.0,0.0,0.0
2026-02-26 00:23:00,0.0,0.0,0.0,0.0
2026-02-26 00:24:00,0.0,0.0,0.0,0.0
2026-02-26 00:25:00,0.0,0.0,0.0,0.0
2026-02-26 00:26:00,0.0,0.0,0.0,0.0
2026-02-26 00:27:00,0.0,0.0,0.0,0.0
2026-02-26 00:28:00,0.0,0.0,0.0,0.0
2026-02-26 00:29:00,0.0,0.0,0.0,0.0
2026-02-26 00:30:00,0.0,0.0,0.0,0.0
2026-02-26 00:31:00,0.0,0.0,0.0,0.0
2026-02-26 00:32:00,0.0,0.0,0.0,0.0
2026-02-26 00:33:00,0.0,0.0,0.0,0.0
2026-02-26 00:34:00,0.0,0.0,0.0,0.0
2026-02-26 00:35:00,0.0,0.0,0.0,0.0
2026-02-26 00:36:00,0.0,0.0,0.0,0.0
2026-02-26 00:37:00,0.0,0.0,0.0,0.0
2026-02-26 00:38:00,0.0,0.0,0.0,0.0
2026-02-26 00:39:00,0.0,0.0,0.0,0.0
2026-02-26 00:40:00,0.0,0.0,0.0,0.0
2026-02-26 00:41:00,0.0,0.0,0.0,0.0
2026-02-26 00:42:00,0.0,0.0,0.0,0.0
2026-02-26 00:43:00,0.0,0.0,0.0,0.0
2026-02-26 00:44:00,0.0,0.0,0.0,0.0
2026-02-26 00:45:00,0.0,0.0,0.0,0.0
2026-02-26 00:46:00,0.0,0.0,0.0,0.0
2026-02-26 00:47:00,0.0,0.0,0.0,0.0
2026-02-26 00:48:00,0.0,0.0,0.0,0.0
2026-02-26 00:49:00,0.0,0.0,0.0,0.0
2026-02-26 00:50:00,0.0,0.0,0.0,0.0
2026-02-26 00:51:00,0.0,0.0,0.0,0.0
2026-02-26 00:52:00,0.0,0.0,0.0,0.0
2026-02-26 00:53:00,0.0,0.0,0.0,0.0
2026-02-26 00:54:00,0.0,0.0,0.0,0.0
2026-02-26 00:55:00,0.0,0.0,0.0,0.0
2026-02-26 00:56:00,0.0,0.0,0.0,0.0
2026-02-26 00:57:00,0.0,0.0,0.0,0.0
2026-02-26 00:58:00,0.0,0.0,0.0,0.0
2026-02-26 00:59:00,0.0,0.0,0.0,0.0
2026-02-26 01:00:00,0.0,0.0,0.0,0.0
2026-02-26 01:01:00,0.0,0.0,0.0,0.0
2026-02-26 01:02:00,0.0,0.0,0.0,0.0
2026-02-26 01:03:00,0.0,0.0,0.0,0.0
2026-02-26 01:04:00,0.0,0.0,0.0,0.0
2026-02-26 01:05:00,0.0,0.0,0.0,0.0
2026-02-26 01:06:00,0.0,0.0,0.0,0.0
2026-02-26 01:07:00,0.0,0.0,0.0,0.0
2026-02-26 01:08:00,0.0,0.0,0.0,0.0
2026-02-26 01:09:00,0.0,0.0,0.0,0.0
2026-02-26 01:10:00,0.0,0.0,0.0,0.0
2026-02-26 01:11:00,0.0,0.0,0.0,0.0
2026-02-26 01:12:00,0.0,0.0,0.0,0.0
2026-02-26 01:13:00,0.0,0.0,0.0,0.0
2026-02-26 01:14:00,0.0,0.0,0.0,0.0
2026-02-26 01:15:00,0.0,0.0,0.0,0.0
2026-02-26 01:16:00,0.0,0.0,0.0,0.0
2026-02-26 01:17:00,0.0,0.0,0.0,0.0
2026-02-26 01:18:00,0.0,0.0,0.0,0.0
2026-02-26 01:19:00,0.0,0.0,0.0,0.0
2026-02-26 01:20:00,0.0,0.0,0.0,0.0
2026-02-26 01:21:00,0.0,0.0,0.0,0.0
2026-02-26 01:22:00,0.0,0.0,0.0,0.0
2026-02-26 01:23:00,0.0,0.0,0.0,0.0
2026-02-26 01:24:00,0.0,0.0,0.0,0.0
2026-02-26 01:25:00,0.0,0.0,0.0,0.0
2026-02-26 01:26:00,0.0,0.0,0.0,0.0
2026-02-26 01:27:00,0.0,0.0,0.0,0.0
2026-02-26 01:28:00,0.0,0.0,0.0,0.0
2026-02-26 01:29:00,0.0,0.0,0.0,0.0
2026-02-26 01:30:00,0.0,0.0,0.0,0.0
2026-02-26 01:31:00,0.0,0.0,0.0,0.0
2026-02-26 01:32:00,0.0,0.0,0.0,0.0
2026-02-26 01:33:00,0.0,0.0,0.0,0.0
2026-02-26 01:34:00,0.0,0.0,0.0,0.0
2026-02-26 01:35:00,0.0,0.0,0.0,0.0
2026-02-26 01:36:00,0.0,0.0,0.0,0.0
2026-02-26 01:37:00,0.0,0.0,0.0,0.0
2026-02-26 01:38:00,0.0,0.0,0.0,0.0
2026-02-26 01:39:00,0.0,0.0,0.0,0.0
2026-02-26 01:40:00,0.0,0.0,0.0,0.0
2026-02-26 01:41:00,0.0,0.0,0.0,0.0
2026-02-26 01:42:00,0.0,0.0,0.0,0.0
2026-02-26 01:43:00,0.0,0.0,0.0,0.0
2026-02-26 01:44:00,0.0,0.0,0.0,0.0
2026-02-26 01:45:00,0.0,0.0,0.0,0.0
2026-02-26 01:46:00,0.0,0.0,0.0,0.0
2026-02-26 01:47:00,0.0,0.0,0.0,0.0
2026-02-26 01:48:00,0.0,0.0,0.0,0.0
2026-02-26 01:49:00,0.0,0.0,0.0,0.0
2026-02-26 01:50:00,0.0,0.0,0.0,0.0
2026-02-26 01:51:00,0.0,0.0,0.0,0.0
2026-02-26 01:52:00,0.0,0.0,0.0,0.0
2026-02-26 01:53:00,0.0,0.0,0.0,0.0
2026-02-26 01:54:00,0.0,0.0,0.0,0.0
2026-02-26 01:55:00,0.0,0.0,0.0,0.0
2026-02-26 01:56:00,0.0,0.0,0.0,0.0
2026-02-26 01:57:00,0.0,0.0,0.0,0.0
2026-02-26 01:58:00,0.0,0.0,0.0,0.0
2026-02-26 01:59:00,0.0,0.0,0.0,0.0
2026-02-26 02:00:00,0.0,0.0,0.0,0.0
2026-02-26 02:01:00,0.0,0.0,0.0,0.0
2026-02-26 02:02:00,0.0,0.0,0.0,0.0
2026-02-26 02:03:00,0.0,0.0,0.0,0.0
2026-02-26 02:04:00,0.0,0.0,0.0,0.0
2026-02-26 02:05:00,0.0,0.0,0.0,0.0
2026-02-26 02:06:00,0.0,0.0,0.0,0.0
2026-02-26 02:07:00,0.0,0.0,0.0,0.0
2026-02-26 02:08:00,0.0,0.0,0.0,0.0
2026-02-26 02:09:00,0.0,0.0,0.0,0.0
2026-02-26 02:10:00,0.0,0.0,0.0,0.0
2026-02-26 02:11:00,0.0,0.0,0.0,0.0
2026-02-26 02:12:00,0.0,0.0,0.0,0.0
2026-02-26 02:13:00,0.0,0.0,0.0,0.0
2026-02-26 02:14:00,0.0,0.0,0.0,0.0
2026-02-26 02:15:00,0.0,0.0,0.0,0.0
2026-02-26 02:16:00,0.0,0.0,0.0,0.0
2026-02-26 02:17:00,0.0,0.0,0.0,0.0
2026-02-26 02:18:00,0.0,0.0,0.0,0.0
2026-02-26 02:19:00,0.0,0.0,0.0,0.0
2026-02-26 02:20:00,0.0,0.0,0.0,0.0
2026-02-26 02:21:00,0.0,0.0,0.0,0.0
2026-02-26 02:22:00,0.0,0.0,0.0,0.0
2026-02-26 02:23:00,0.0,0.0,0.0,0.0
2026-02-26 02:24:00,0.0,0.0,0.0,0.0
2026-02-26 02:25:00,0.0,0.0,0.0,0.0
2026-02-26 02:26:00,0.0,0.0,0.0,0.0
2026-02-26 02:27:00,0.0,0.0,0.0,0.0
2026-02-26 02:28:00,0.0,0.0,0.0,0.0
2026-02-26 02:29:00,0.0,0.0,0.0,0.0
2026-02-26 02:30:00,0.0,0.0,0.0,0.0
2026-02-26 02:31:00,0.0,0.0,0.0,0.0
2026-02-26 02:32:00,0.0,0.0,0.0,0.0
2026-02-26 02:33:00,0.0,0.0,0.0,0.0
2026-02-26 02:34:00,0.0,0.0,0.0,0.0
2026-02-26 02:35:00,0.0,0.0,0.0,0.0
2026-02-26 02:36:00,0.0,0.0,0.0,0.0
2026-02-26 02:37:00,0.0,0.0,0.0,0.0
2026-02-26 02:38:00,0.0,0.0,0.0,0.0
2026-02-26 02:39:00,0.0,0.0,0.0,0.0
2026-02-26 02:40:00,0.0,0.0,0.0,0.0
2026-02-26 02:41:00,0.0,0.0,0.0,0.0
2026-02-26 02:42:00,0.0,0.0,0.0,0.0
2026-02-26 02:43:00,0.0,0.0,0.0,0.0
2026-02-26 02:44:00,0.0,0.0,0.0,0.0
2026-02-26 02:45:00,0.0,0.0,0.0,0.0
2026-02-26 02:46:00,0.0,0.0,0.0,0.0
2026-02-26 02:47:00,0.0,0.0,0.0,0.0
2026-02-26 02:48:00,0.0,0.0,0.0,0.0
2026-02-26 02:49:00,0.0,0.0,0.0,0.0
2026-02-26 02:50:00,0.0,0.0,0.0,0.0
2026-02-26 02:51:00,0.0,0.0,0.0,0.0
2026-02-26 02:52:00,0.0,0.0,0.0,0.0
2026-02-26 02:53:00,0.0,0.0,0.0,0.0
2026-02-26 02:54:00,0.0,0.0,0.0,0.0
2026-02-26 02:55:00,0.0,0.0,0.0,0.0
2026-02-26 02:56:00,0.0,0.0,0.0,0.0
2026-02-26 02:57:00,0.0,0.0,0.0,0.0
2026-02-26 02:58:00,0.0,0.0,0.0,0.0
2026-02-26 02:59:00,0.0,0.0,0.0,0.0
2026-02-26 03:00:00,0.0,0.0,0.0,0.0
2026-02-26 03:01:00,0.0,0.0,0.0,0.0
2026-02-26 03:02:00,0.0,0.0,0.0,0.0
2026-02-26 03:03:00,0.0,0.0,0.0,0.0
2026-02-26 03:04:00,0.0,0.0,0.0,0.0
2026-02-26 03:05:00,0.0,0.0,0.0,0.0
2026-02-26 03:06:00,0.0,0.0,0.0,0.0
2026-02-26 03:07:00,0.0,0.0,0.0,0.0
2026-02-26 03:08:00,0.0,0.0,0.0,0.0
2026-02-26 03:09:00,0.0,0.0,0.0,0.0
2026-02-26 03:10:00,0.0,0.0,0.0,0.0
2026-02-26 03:11:00,0.0,0.0,0.0,0.0
2026-02-26 03:12:00,0.0,0.0,0.0,0.0
2026-02-26 03:13:00,0.0,0.0,0.0,0.0
2026-02-26 03:14:00,0.0,0.0,0.0,0.0
2026-02-26 03:15:00,0.0,0.0,0.0,0.0
2026-02-26 03:16:00,0.0,0.0,0.0,0.0
2026-02-26 03:17:00,0.0,0.0,0.0,0.0
2026-02-26 03:18:00,0.0,0.0,0.0,0.0
2026-02-26 03:19:00,0.0,0.0,0.0,0.0
2026-02-26 03:20:00,0.0,0.0,0.0,0.0
2026-02-26 03:21:00,0.0,0.0,0.0,0.0
2026-02-26 03:22:00,0.0,0.0,0.0,0.0
2026-02-26 03:23:00,0.0,0.0,0.0,0.0
2026-02-26 03:24:00,0.0,0.0,0.0,0.0
2026-02-26 03:25:00,0.0,0.0,0.0,0.0
2026-02-26 03:26:00,0.0,0.0,0.0,0.0
2026-02-26 03:27:00,0.0,0.0,0.0,0.0
2026-02-26 03:28:00,0.0,0.0,0.0,0.0
2026-02-26 03:29:00,0.0,0.0,0.0,0.0
2026-02-26 03:30:00,0.0,0.0,0.0,0.0
2026-02-26 03:31:00,0.0,0.0,0.0,0.0
2026-02-26 03:32:00,0.0,0.0,0.0,0.0
2026-02-26 03:33:00,0.0,0.0,0.0,0.0
2026-02-26 03:34:00,0.0,0.0,0.0,0.0
2026-02-26 03:35:00,0.0,0.0,0.0,0.0
2026-02-26 03:36:00,0.0,0.0,0.0,0.0
2026-02-26 03:37:00,0.0,0.0,0.0,0.0
2026-02-26 03:38:00,0.0,0.0,0.0,0.0
2026-02-26 03:39:00,0.0,0.0,0.0,0.0
2026-02-26 03:40:00,0.0,0.0,0.0,0.0
2026-02-26 03:41:00,0.0,0.0,0.0,0.0
2026-02-26 03:42:00,0.0,0.0,0.0,0.0
2026-02-26 03:43:00,0.0,0.0,0.0,0.0
2026-02-26 03:44:00,0.0,0.0,0.0,0.0
2026-02-26 03:45:00,0.0,0.0,0.0,0.0
2026-02-26 03:46:00,0.0,0.0,0.0,0.0
2026-02-26 03:47:00,0.0,0.0,0.0,0.0
2026-02-26 03:48:00,0.0,0.0,0.0,0.0
2026-02-26 03:49:00,0.0,0.0,0.0,0.0
2026-02-26 03:50:00,0.0,0.0,0.0,0.0
2026-02-26 03:51:00,0.0,0.0,0.0,0.0
2026-02-26 03:52:00,0.0,0.0,0.0,0.0
2026-02-26 03:53:00,0.0,0.0,0.0,0.0
2026-02-26 03:54:00,0.0,0.0,0.0,0.0
2026-02-26 03:55:00,0.0,0.0,0.0,0.0
2026-02-26 03:56:00,0.0,0.0,0.0,0.0
2026-02-26 03:57:00,0.0,0.0,0.0,0.0
2026-02-26 03:58:00,0.0,0.0,0.0,0.0
2026-02-26 03:59:00,0.0,0.0,0.0,0.0
2026-02-26 04:00:00,0.0,0.0,0.0,0.0
2026-02-26 04:01:00,0.0,0.0,0.0,0.0
2026-02-26 04:02:00,0.0,0.0,0.0,0.0
2026-02-26 04:03:00,0.0,0.0,0.0,0.0
2026-02-26 04:04:00,0.0,0.0,0.0,0.0
2026-02-26 04:05:00,0.0,0.0,0.0,0.0
2026-02-26 04:06:00,0.0,0.0,0.0,0.0
2026-02-26 04:07:00,0.0,0.0,0.0,0.0
2026-02-26 04:08:00,0.0,0.0,0.0,0.0
2026-02-26 04:09:00,0.0,0.0,0.0,0.0
2026-02-26 04:10:00,0.0,0.0,0.0,0.0
2026-02-26 04:11:00,0.0,0.0,0.0,0.0
2026-02-26 04:12:00,0.0,0.0,0.0,0.0
2026-02-26 04:13:00,0.0,0.0,0.0,0.0
2026-02-26 04:14:00,0.0,0.0,0.0,0.0
2026-02-26 04:15:00,0.0,0.0,0.0,0.0
2026-02-26 04:16:00,0.0,0.0,0.0,0.0
2026-02-26 04:17:00,0.0,0.0,0.0,0.0
2026-02-26 04:18:00,0.0,0.0,0.0,0.0
2026-02-26 04:19:00,0.0,0.0,0.0,0.0
2026-02-26 04:20:00,0.0,0.0,0.0,0.0
2026-02-26 04:21:00,0.0,0.0,0.0,0.0
2026-02-26 04:22:00,0.0,0.0,0.0,0.0
2026-02-26 04:23:00,0.0,0.0,0.0,0.0
2026-02-26 04:24:00,0.0,0.0,0.0,0.0
2026-02-26 04:25:00,0.0,0.0,0.0,0.0
2026-02-26 04:26:00,0.0,0.0,0.0,0.0
2026-02-26 04:27:00,0.0,0.0,0.0,0.0
2026-02-26 04:28:00,0.0,0.0,0.0,0.0
2026-02-26 04:29:00,0.0,0.0,0.0,0.0
2026-02-26 04:30:00,0.0,0.0,0.0,0.0
2026-02-26 04:31:00,0.0,0.0,0.0,0.0
2026-02-26 04:32:00,0.0,0.0,0.0,0.0
2026-02-26 04:33:00,0.0,0.0,0.0,0.0
2026-02-26 04:34:00,0.0,0.0,0.0,0.0
2026-02-26 04:35:00,0.0,0.0,0.0,0.0
2026-02-26 04:36:00,0.0,0.0,0.0,0.0
2026-02-26 04:37:00,0.0,0.0,0.0,0.0
2026-02-26 04:38:00,0.0,0.0,0.0,0.0
2026-02-26 04:39:00,0.0,0.0,0.0,0.0
2026-02-26 04:40:00,0.0,0.0,0.0,0.0
2026-02-26 04:41:00,0.0,0.0,0.0,0.0
2026-02-26 04:42:00,0.0,0.0,0.0,0.0
2026-02-26 04:43:00,0.0,0.0,0.0,0.0
2026-02-26 04:44:00,0.0,0.0,0.0,0.0
2026-02-26 04:45:00,0.0,0.0,0.0,0.0
2026-02-26 04:46:00,0.0,0.0,0.0,0.0
2026-02-26 04:47:00,0.0,0.0,0.0,0.0
2026-02-26 04:48:00,0.0,0.0,0.0,0.0
2026-02-26 04:49:00,0.0,0.0,0.0,0.0
2026-02-26 04:50:00,0.0,0.0,0.0,0.0
2026-02-26 04:51:00,0.0,0.0,0.0,0.0
2026-02-26 04:52:00,0.0,0.0,0.0,0.0
2026-02-26 04:53:00,0.0,0.0,0.0,0.0
2026-02-26 04:54:00,0.0,0.0,0.0,0.0
2026-02-26 04:55:00,0.0,0.0,0.0,0.0
2026-02-26 04:56:00,0.0,0.0,0.0,0.0
2026-02-26 04:57:00,0.0,0.0,0.0,0.0
2026-02-26 04:58:00,0.0,0.0,0.0,0.0
2026-02-26 04:59:00,0.0,0.0,0.0,0.0
2026-02-26 05:00:00,0.0,0.0,0.0,0.0
2026-02-26 05:01:00,0.0,0.0,0.0,0.0
2026-02-26 05:02:00,0.0,0.0,0.0,0.0
2026-02-26 05:03:00,0.0,0.0,0.0,0.0
2026-02-26 05:04:00,0.0,0.0,0.0,0.0
2026-02-26 05:05:00,0.0,0.0,0.0,0.0
2026-02-26 05:06:00,0.0,0.0,0.0,0.0
2026-02-26 05:07:00,0.0,0.0,0.0,0.0
2026-02-26 05:08:00,0.0,0.0,0.0,0.0
2026-02-26 05:09:00,0.0,0.0,0.0,0.0
2026-02-26 05:10:00,0.0,0.0,0.0,0.0
2026-02-26 05:11:00,0.0,0.0,0.0,0.0
2026-02-26 05:12:00,0.0,0.0,0.0,0.0
2026-02-26 05:13:00,0.0,0.0,0.0,0.0
2026-02-26 05:14:00,0.0,0.0,0.0,0.0
2026-02-26 05:15:00,0.0,0.0,0.0,0.0
2026-02-26 05:16:00,0.0,0.0,0.0,0.0
2026-02-26 05:17:00,0.0,0.0,0.0,0.0
2026-02-26 05:18:00,0.0,0.0,0.0,0.0
2026-02-26 05:19:00,0.0,0.0,0.0,0.0
2026-02-26 05:20:00,0.0,0.0,0.0,0.0
2026-02-26 05:21:00,0.0,0.0,0.0,0.0
2026-02-26 05:22:00,0.0,0.0,0.0,0.0
2026-02-26 05:23:00,0.0,0.0,0.0,0.0
2026-02-26 05:24:00,0.0,0.0,0.0,0.0
2026-02-26 05:25:00,0.0,0.0,0.0,0.0
2026-02-26 05:26:00,0.0,0.0,0.0,0.0
2026-02-26 05:27:00,0.0,0.0,0.0,0.0
2026-02-26 05:28:00,0.0,0.0,0.0,0.0
2026-02-26 05:29:00,0.0,0.0,0.0,0.0
2026-02-26 05:30:00,0.0,0.0,0.0,0.0
2026-02-26 05:31:00,0.0,0.0,0.0,0.0
2026-02-26 05:32:00,0.0,0.0,0.0,0.0
2026-02-26 05:33:00,0.0,0.0,0.0,0.0
2026-02-26 05:34:00,0.0,0.0,0.0,0.0
2026-02-26 05:35:00,0.0,0.0,0.0,0.0
2026-02-26 05:36:00,0.0,0.0,0.0,0.0
2026-02-26 05:37:00,0.0,0.0,0.0,0.0
2026-02-26 05:38:00,0.0,0.0,0.0,0.0
2026-02-26 05:39:00,0.0,0.0,0.0,0.0
2026-02-26 05:40:00,0.0,0.0,0.0,0.0
2026-02-26 05:41:00,0.0,0.0,0.0,0.0
2026-02-26 05:42:00,0.0,0.0,0.0,0.0
2026-02-26 05:43:00,0.0,0.0,0.0,0.0
2026-02-26 05:44:00,0.0,0.0,0.0,0.0
2026-02-26 05:45:00,0.0,0.0,0.0,0.0
2026-02-26 05:46:00,0.0,0.0,0.0,0.0
2026-02-26 05:47:00,0.0,0.0,0.0,0.0
2026-02-26 05:48:00,0.0,0.0,0.0,0.0
2026-02-26 05:49:00,0.0,0.0,0.0,0.0
2026-02-26 05:50:00,0.0,0.0,0.0,0.0
2026-02-26 05:51:00,0.0,0.0,0.0,0.0
2026-02-26 05:52:00,0.0,0.0,0.0,0.0
2026-02-26 05:53:00,0.0,0.0,0.0,0.0
2026-02-26 05:54:00,0.0,0.0,0.0,0.0
2026-02-26 05:55:00,0.0,0.0,0.0,0.0
2026-02-26 05:56:00,0.0,0.0,0.0,0.0
2026-02-26 05:57:00,0.0,0.0,0.0,0.0
2026-02-26 05:58:00,0.0,0.0,0.0,0.0
2026-02-26 05:59:00,0.0,0.0,0.0,0.0
2026-02-26 06:00:00,0.0,0.0,0.0,0.0
2026-02-26 06:01:00,1.091,1.091,0.0,0.0182
2026-02-26 06:02:00,2.182,2.182,0.0,0.0545
2026-02-26 06:03:00,3.272,3.272,0.0,0.1091
2026-02-26 06:04:00,4.363,4.363,0.0,0.1818
2026-02-26 06:05:00,5.454,5.454,0.0,0.2727
2026-02-26 06:06:00,6.544,6.544,0.0,0.3818
2026-02-26 06:07:00,7.635,7.635,0.0,0.509
2026-02-26 06:08:00,8.725,8.725,0.0,0.6544
2026-02-26 06:09:00,9.815,9.815,0.0,0.818
2026-02-26 06:10:00,10.905,10.905,0.0,0.9998
2026-02-26 06:11:00,11.995,11.995,0.0,1.1997
2026-02-26 06:12:00,13.084,13.084,0.0,1.4177
2026-02-26 06:13:00,14.173,14.173,0.0,1.6539
2026-02-26 06:14:00,15.262,15.262,0.0,1.9083
2026-02-26 06:15:00,16.351,16.351,0.0,2.1808
2026-02-26 06:16:00,17.439,17.439,0.0,2.4715
2026-02-26 06:17:00,18.527,18.527,0.0,2.7803
2026-02-26 06:18:00,19.615,19.615,0.0,3.1072
2026-02-26 06:19:00,20.702,20.702,0.0,3.4522
2026-02-26 06:20:00,21.789,21.789,0.0,3.8154
2026-02-26 06:21:00,22.875,22.875,0.0,4.1966
2026-02-26 06:22:00,23.961,23.961,0.0,4.596
2026-02-26 06:23:00,25.047,25.047,0.0,5.0134
2026-02-26 06:24:00,26.132,26.132,0.0,5.449
2026-02-26 06:25:00,27.217,27.217,0.0,5.9026
2026-02-26 06:26:00,28.301,28.301,0.0,6.3743
2026-02-26 06:27:00,29.384,29.384,0.0,6.864
2026-02-26 06:28:00,30.467,30.467,0.0,7.3718
2026-02-26 06:29:00,31.55,31.55,0.0,7.8976
2026-02-26 06:30:00,32.632,32.632,0.0,8.4415
2026-02-26 06:31:00,33.713,33.713,0.0,9.0034
2026-02-26 06:32:00,34.793,34.793,0.0,9.5832
2026-02-26 06:33:00,35.873,35.873,0.0,10.1811
2026-02-26 06:34:00,36.952,36.952,0.0,10.797
2026-02-26 06:35:00,38.031,38.031,0.0,11.4308
2026-02-26 06:36:00,39.109,39.109,0.0,12.0827
2026-02-26 06:37:00,40.186,40.186,0.0,12.7524
2026-02-26 06:38:00,41.262,41.262,0.0,13.4401
2026-02-26 06:39:00,42.337,42.337,0.0,14.1457
2026-02-26 06:40:00,43.412,43.412,0.0,14.8693
2026-02-26 06:41:00,44.486,44.486,0.0,15.6107
2026-02-26 06:42:00,45.559,45.559,0.0,16.37
2026-02-26 06:43:00,46.631,46.631,0.0,17.1472
2026-02-26 06:44:00,47.702,47.702,0.0,17.9422
2026-02-26 06:45:00,48.773,48.773,0.0,18.7551
2026-02-26 06:46:00,49.842,49.842,0.0,19.5858
2026-02-26 06:47:00,50.91,50.91,0.0,20.4343
2026-02-26 06:48:00,51.978,51.978,0.0,21.3006
2026-02-26 06:49:00,53.044,53.044,0.0,22.1847
2026-02-26 06:50:00,54.11,54.11,0.0,23.0865
2026-02-26 06:51:00,55.174,55.174,0.0,24.0061
2026-02-26 06:52:00,56.238,56.238,0.0,24.9434
2026-02-26 06:53:00,57.3,57.3,0.0,25.8984
2026-02-26 06:54:00,58.361,58.361,0.0,26.8711
2026-02-26 06:55:00,59.421,59.421,0.0,27.8614
2026-02-26 06:56:00,60.48,60.48,0.0,28.8695
2026-02-26 06:57:00,61.538,61.538,0.0,29.8951
2026-02-26 06:58:00,62.595,62.595,0.0,30.9383
2026-02-26 06:59:00,63.65,63.65,0.0,31.9992
2026-02-26 07:00:00,64.705,64.705,0.0,33.0776
2026-02-26 07:01:00,65.758,65.758,0.0,34.1736
2026-02-26 07:02:00,66.81,66.81,0.0,35.2871
2026-02-26 07:03:00,67.86,67.86,0.0,36.4181
2026-02-26 07:04:00,68.909,68.909,0.0,37.5665
2026-02-26 07:05:00,69.957,69.957,0.0,38.7325
2026-02-26 07:06:00,71.004,71.004,0.0,39.9159
2026-02-26 07:07:00,72.049,72.049,0.0,41.1167
2026-02-26 07:08:00,73.093,73.093,0.0,42.3349
2026-02-26 07:09:00,74.135,74.135,0.0,43.5705
2026-02-26 07:10:00,75.176,75.176,0.0,44.8235
2026-02-26 07:11:00,76.216,76.216,0.0,46.0937
2026-02-26 07:12:00,77.254,77.254,0.0,47.3813
2026-02-26 07:13:00,78.291,78.291,0.0,48.6861
2026-02-26 07:14:00,79.326,79.326,0.0,50.0082
2026-02-26 07:15:00,80.36,80.36,0.0,51.3476
2026-02-26 07:16:00,81.392,81.392,0.0,52.7041
2026-02-26 07:17:00,82.423,82.423,0.0,54.0778
2026-02-26 07:18:00,83.452,83.452,0.0,55.4687
2026-02-26 07:19:00,84.479,84.479,0.0,56.8767
2026-02-26 07:20:00,85.505,85.505,0.0,58.3018
2026-02-26 07:21:00,86.529,86.529,0.0,59.7439
