time,电网功率(kW),正向有功总电能,反向有功总电能
2026-02-26 00:00:00,45.0,0.75,0.0
2026-02-26 00:01:00,45.0,1.5,0.0
2026-02-26 00:02:00,45.0,2.25,0.0
2026-02-26 00:03:00,45.0,3.0,0.0
2026-02-26 00:04:00,45.0,3.75,0.0
2026-02-26 00:05:00,45.0,4.5,0.0
2026-02-26 00:06:00,45.0,5.25,0.0
2026-02-26 00:07:00,45.0,6.0,0.0
2026-02-26 00:08:00,45.0,6.75,0.0
2026-02-26 00:09:00,45.0,7.5,0.0
2026-02-26 00:10:00,45.0,8.25,0.0
2026-02-26 00:11:00,45.0,9.0,0.0
2026-02-26 00:12:00,45.0,9.75,0.0
2026-02-26 00:13:00,45.0,10.5,0.0
2026-02-26 00:14:00,45.0,11.25,0.0
2026-02-26 00:15:00,45.0,12.0,0.0
2026-02-26 00:16:00,45.0,12.75,0.0
2026-02-26 00:17:00,45.0,13.5,0.0
2026-02-26 00:18:00,45.0,14.25,0.0
2026-02-26 00:19:00,45.0,15.0,0.0
2026-02-26 00:20:00,45.0,15.75,0.0
2026-02-26 00:21:00,45.0,16.5,0.0
2026-02-26 00:22:00,45.0,17.25,0.0
2026-02-26 00:23:00,45.0,18.0,0.0
2026-02-26 00:24:00,45.0,18.75,0.0
2026-02-26 00:25:00,45.0,19.5,0.0
2026-02-26 00:26:00,45.0,20.25,0.0
2026-02-26 00:27:00,45.0,21.0,0.0
2026-02-26 00:28:00,45.0,21.75,0.0
2026-02-26 00:29:00,45.0,22.5,0.0
2026-02-26 00:30:00,45.0,23.25,0.0
2026-02-26 00:31:00,45.0,24.0,0.0
2026-02-26 00:32:00,45.0,24.75,0.0
2026-02-26 00:33:00,45.0,25.5,0.0
2026-02-26 00:34:00,45.0,26.25,0.0
2026-02-26 00:35:00,45.0,27.0,0.0
2026-02-26 00:36:00,45.0,27.75,0.0
2026-02-26 00:37:00,45.0,28.5,0.0
2026-02-26 00:38:00,45.0,29.25,0.0
2026-02-26 00:39:00,45.0,30.0,0.0
2026-02-26 00:40:00,45.0,30.75,0.0
2026-02-26 00:41:00,45.0,31.5,0.0
2026-02-26 00:42:00,45.0,32.25,0.0
2026-02-26 00:43:00,45.0,33.0,0.0
2026-02-26 00:44:00,45.0,33.75,0.0
2026-02-26 00:45:00,45.0,34.5,0.0
2026-02-26 00:46:00,45.0,35.25,0.0
2026-02-26 00:47:00,45.0,36.0,0.0
2026-02-26 00:48:00,45.0,36.75,0.0
2026-02-26 00:49:00,45.0,37.5,0.0
2026-02-26 00:50:00,45.0,38.25,0.0
2026-02-26 00:51:00,45.0,39.0,0.0
2026-02-26 00:52:00,45.0,39.75,0.0
2026-02-26 00:53:00,45.0,40.5,0.0
2026-02-26 00:54:00,45.0,41.25,0.0
2026-02-26 00:55:00,45.0,42.0,0.0
2026-02-26 00:56:00,45.0,42.75,0.0
2026-02-26 00:57:00,45.0,43.5,0.0
2026-02-26 00:58:00,45.0,44.25,0.0
2026-02-26 00:59:00,45.0,45.0,0.0
2026-02-26 01:00:00,45.0,45.75,0.0
2026-02-26 01:01:00,45.0,46.5,0.0
2026-02-26 01:02:00,45.0,47.25,0.0
2026-02-26 01:03:00,45.0,48.0,0.0
2026-02-26 01:04:00,45.0,48.75,0.0
2026-02-26 01:05:00,45.0,49.5,0.0
2026-02-26 01:06:00,45.0,50.25,0.0
2026-02-26 01:07:00,45.0,51.0,0.0
2026-02-26 01:08:00,45.0,51.75,0.0
2026-02-26 01:09:00,45.0,52.5,0.0
2026-02-26 01:10:00,45.0,53.25,0.0
2026-02-26 01:11:00,45.0,54.0,0.0
2026-02-26 01:12:00,45.0,54.75,0.0
2026-02-26 01:13:00,45.0,55.5,0.0
2026-02-26 01:14:00,45.0,56.25,0.0
2026-02-26 01:15:00,45.0,57.0,0.0
2026-02-26 01:16:00,45.0,57.75,0.0
2026-02-26 01:17:00,45.0,58.5,0.0
2026-02-26 01:18:00,45.0,59.25,0.0
2026-02-26 01:19:00,45.0,60.0,0.0
2026-02-26 01:20:00,45.0,60.75,0.0
2026-02-26 01:21:00,45.0,61.5,0.0
2026-02-26 01:22:00,45.0,62.25,0.0
2026-02-26 01:23:00,45.0,63.0,0.0
2026-02-26 01:24:00,45.0,63.75,0.0
2026-02-26 01:25:00,45.0,64.5,0.0
2026-02-26 01:26:00,45.0,65.25,0.0
2026-02-26 01:27:00,45.0,66.0,0.0
2026-02-26 01:28:00,45.0,66.75,0.0
2026-02-26 01:29:00,45.0,67.5,0.0
2026-02-26 01:30:00,45.0,68.25,0.0
2026-02-26 01:31:00,45.0,69.0,0.0
2026-02-26 01:32:00,45.0,69.75,0.0
2026-02-26 01:33:00,45.0,70.5,0.0
2026-02-26 01:34:00,45.0,71.25,0.0
2026-02-26 01:35:00,45.0,72.0,0.0
2026-02-26 01:36:00,45.0,72.75,0.0
2026-02-26 01:37:00,45.0,73.5,0.0
2026-02-26 01:38:00,45.0,74.25,0.0
2026-02-26 01:39:00,45.0,75.0,0.0
2026-02-26 01:40:00,45.0,75.75,0.0
2026-02-26 01:41:00,45.0,76.5,0.0
2026-02-26 01:42:00,45.0,77.25,0.0
2026-02-26 01:43:00,45.0,78.0,0.0
2026-02-26 01:44:00,45.0,78.75,0.0
2026-02-26 01:45:00,45.0,79.5,0.0
2026-02-26 01:46:00,45.0,80.25,0.0
2026-02-26 01:47:00,45.0,81.0,0.0
2026-02-26 01:48:00,45.0,81.75,0.0
2026-02-26 01:49:00,45.0,82.5,0.0
2026-02-26 01:50:00,45.0,83.25,0.0
2026-02-26 01:51:00,45.0,84.0,0.0
2026-02-26 01:52:00,45.0,84.75,0.0
2026-02-26 01:53:00,45.0,85.5,0.0
2026-02-26 01:54:00,45.0,86.25,0.0
2026-02-26 01:55:00,45.0,87.0,0.0
2026-02-26 01:56:00,45.0,87.75,0.0
2026-02-26 01:57:00,45.0,88.5,0.0
2026-02-26 01:58:00,45.0,89.25,0.0
2026-02-26 01:59:00,45.0,90.0,0.0
2026-02-26 02:00:00,55.0,90.9167,0.0
2026-02-26 02:01:00,55.0,91.8333,0.0
2026-02-26 02:02:00,55.0,92.75,0.0
2026-02-26 02:03:00,55.0,93.6667,0.0
2026-02-26 02:04:00,55.0,94.5833,0.0
2026-02-26 02:05:00,55.0,95.5,0.0
2026-02-26 02:06:00,55.0,96.4167,0.0
2026-02-26 02:07:00,55.0,97.3333,0.0
2026-02-26 02:08:00,55.0,98.25,0.0
2026-02-26 02:09:00,55.0,99.1667,0.0
2026-02-26 02:10:00,55.0,100.0833,0.0
2026-02-26 02:11:00,55.0,101.0,0.0
2026-02-26 02:12:00,55.0,101.9167,0.0
2026-02-26 02:13:00,55.0,102.8333,0.0
2026-02-26 02:14:00,55.0,103.75,0.0
2026-02-26 02:15:00,55.0,104.6667,0.0
2026-02-26 02:16:00,55.0,105.5833,0.0
2026-02-26 02:17:00,55.0,106.5,0.0
2026-02-26 02:18:00,55.0,107.4167,0.0
2026-02-26 02:19:00,55.0,108.3333,0.0
2026-02-26 02:20:00,55.0,109.25,0.0
2026-02-26 02:21:00,55.0,110.1667,0.0
2026-02-26 02:22:00,55.0,111.0833,0.0
2026-02-26 02:23:00,55.0,112.0,0.0
2026-02-26 02:24:00,55.0,112.9167,0.0
2026-02-26 02:25:00,55.0,113.8333,0.0
2026-02-26 02:26:00,55.0,114.75,0.0
2026-02-26 02:27:00,55.0,115.6667,0.0
2026-02-26 02:28:00,55.0,116.5833,0.0
2026-02-26 02:29:00,55.0,117.5,0.0
2026-02-26 02:30:00,55.0,118.4167,0.0
2026-02-26 02:31:00,55.0,119.3333,0.0
2026-02-26 02:32:00,55.0,120.25,0.0
2026-02-26 02:33:00,55.0,121.1667,0.0
2026-02-26 02:34:00,55.0,122.0833,0.0
2026-02-26 02:35:00,55.0,123.0,0.0
2026-02-26 02:36:00,55.0,123.9167,0.0
2026-02-26 02:37:00,55.0,124.8333,0.0
2026-02-26 02:38:00,55.0,125.75,0.0
2026-02-26 02:39:00,55.0,126.6667,0.0
2026-02-26 02:40:00,55.0,127.5833,0.0
2026-02-26 02:41:00,55.0,128.5,0.0
2026-02-26 02:42:00,55.0,129.4167,0.0
2026-02-26 02:43:00,55.0,130.3333,0.0
2026-02-26 02:44:00,55.0,131.25,0.0
2026-02-26 02:45:00,55.0,132.1667,0.0
2026-02-26 02:46:00,55.0,133.0833,0.0
2026-02-26 02:47:00,55.0,134.0,0.0
2026-02-26 02:48:00,55.0,134.9167,0.0
2026-02-26 02:49:00,55.0,135.8333,0.0
2026-02-26 02:50:00,55.0,136.75,0.0
2026-02-26 02:51:00,55.0,137.6667,0.0
2026-02-26 02:52:00,55.0,138.5833,0.0
2026-02-26 02:53:00,55.0,139.5,0.0
2026-02-26 02:54:00,55.0,140.4167,0.0
2026-02-26 02:55:00,55.0,141.3333,0.0
2026-02-26 02:56:00,55.0,142.25,0.0
2026-02-26 02:57:00,55.0,143.1667,0.0
2026-02-26 02:58:00,55.0,144.0833,0.0
2026-02-26 02:59:00,55.0,145.0,0.0
2026-02-26 03:00:00,55.0,145.9167,0.0
2026-02-26 03:01:00,55.0,146.8333,0.0
2026-02-26 03:02:00,55.0,147.75,0.0
2026-02-26 03:03:00,55.0,148.6667,0.0
2026-02-26 03:04:00,55.0,149.5833,0.0
2026-02-26 03:05:00,55.0,150.5,0.0
2026-02-26 03:06:00,55.0,151.4167,0.0
2026-02-26 03:07:00,55.0,152.3333,0.0
2026-02-26 03:08:00,55.0,153.25,0.0
2026-02-26 03:09:00,55.0,154.1667,0.0
2026-02-26 03:10:00,55.0,155.0833,0.0
2026-02-26 03:11:00,55.0,156.0,0.0
2026-02-26 03:12:00,55.0,156.9167,0.0
2026-02-26 03:13:00,55.0,157.8333,0.0
2026-02-26 03:14:00,55.0,158.75,0.0
2026-02-26 03:15:00,55.0,159.6667,0.0
2026-02-26 03:16:00,55.0,160.5834,0.0
2026-02-26 03:17:00,55.0,161.5,0.0
2026-02-26 03:18:00,55.0,162.4167,0.0
2026-02-26 03:19:00,55.0,163.3334,0.0
2026-02-26 03:20:00,55.0,164.25,0.0
2026-02-26 03:21:00,55.0,165.1667,0.0
2026-02-26 03:22:00,55.0,166.0834,0.0
2026-02-26 03:23:00,55.0,167.0,0.0
2026-02-26 03:24:00,55.0,167.9167,0.0
2026-02-26 03:25:00,55.0,168.8334,0.0
2026-02-26 03:26:00,55.0,169.75,0.0
2026-02-26 03:27:00,55.0,170.6667,0.0
2026-02-26 03:28:00,55.0,171.5834,0.0
2026-02-26 03:29:00,55.0,172.5,0.0
2026-02-26 03:30:00,55.0,173.4167,0.0
2026-02-26 03:31:00,55.0,174.3334,0.0
2026-02-26 03:32:00,55.0,175.2501,0.0
2026-02-26 03:33:00,55.0,176.1667,0.0
2026-02-26 03:34:00,55.0,177.0834,0.0
2026-02-26 03:35:00,55.0,178.0001,0.0
2026-02-26 03:36:00,55.0,178.9167,0.0
2026-02-26 03:37:00,55.0,179.8334,0.0
2026-02-26 03:38:00,55.0,180.7501,0.0
2026-02-26 03:39:00,55.0,181.6668,0.0
2026-02-26 03:40:00,55.0,182.5834,0.0
2026-02-26 03:41:00,55.0,183.5001,0.0
2026-02-26 03:42:00,55.0,184.4168,0.0
